,Date,Home Team,Visitor Team,Home Team Score,Visitor Team Score
308,2021-03-01T00:00:00.000Z,Orlando Magic,Dallas Mavericks,124,130
309,2021-02-25T00:00:00.000Z,Philadelphia 76ers,Dallas Mavericks,111,97
310,2021-02-17T00:00:00.000Z,Charlotte Hornets,Chicago Bulls,99,120
311,2021-01-15T00:00:00.000Z,Detroit Pistons,Washington Wizards,120,91
312,2021-03-02T00:00:00.000Z,Milwaukee Bucks,Denver Nuggets,97,128
313,2021-03-01T00:00:00.000Z,Houston Rockets,Cleveland Cavaliers,90,101
314,2021-02-28T00:00:00.000Z,Boston Celtics,Washington Wizards,111,110
315,2021-02-27T00:00:00.000Z,Brooklyn Nets,Dallas Mavericks,98,115
316,2021-02-03T00:00:00.000Z,San Antonio Spurs,Minnesota Timberwolves,111,108
317,2021-01-22T00:00:00.000Z,San Antonio Spurs,Dallas Mavericks,117,122
318,2021-01-07T00:00:00.000Z,Denver Nuggets,Dallas Mavericks,117,124
319,2021-02-23T00:00:00.000Z,Toronto Raptors,Philadelphia 76ers,102,109
320,2021-02-06T00:00:00.000Z,Philadelphia 76ers,Brooklyn Nets,124,108
321,2021-01-24T00:00:00.000Z,Orlando Magic,Charlotte Hornets,104,107
322,2021-01-06T00:00:00.000Z,Milwaukee Bucks,Detroit Pistons,130,115
323,2021-03-02T00:00:00.000Z,Miami Heat,Atlanta Hawks,80,94
324,2021-02-24T00:00:00.000Z,Phoenix Suns,Charlotte Hornets,121,124
325,2021-02-14T00:00:00.000Z,Charlotte Hornets,San Antonio Spurs,110,122
326,2021-01-25T00:00:00.000Z,Indiana Pacers,Toronto Raptors,129,114
327,2021-01-27T00:00:00.000Z,New Orleans Pelicans,Washington Wizards,124,106
